ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_week,month_name,hour_of_day
7569BC890583FCD7,classic_bike,"2025-01-21 17:23:55","2025-01-21 17:37:52","Wacker Dr & Washington St",KA1503000072,"McClurg Ct & Ohio St",TA1306000029,41.883143,-87.637242,41.892592,-87.617289,member,13,Tuesday,January,17
013609308856B7FC,electric_bike,"2025-01-11 15:44:07","2025-01-11 15:49:11","Halsted St & Wrightwood Ave",TA1309000061,"Racine Ave & Belmont Ave",TA1308000019,41.929147,-87.649153,41.939743,-87.658865,member,5,Saturday,January,15
EACACD3CE0607C0D,classic_bike,"2025-01-02 15:16:28","2025-01-02 15:28:03","Southport Ave & Waveland Ave",13235,"Broadway & Cornelia Ave",13278,41.948226,-87.664071,41.945529,-87.646439,member,11,Thursday,January,15
EAA2485BA64710D3,classic_bike,"2025-01-23 08:49:06","2025-01-23 08:52:40","Southport Ave & Waveland Ave",13235,"Southport Ave & Roscoe St",13071,41.948226,-87.664071,41.943739,-87.664020,member,3,Thursday,January,8
7F8BE2471C7F746B,electric_bike,"2025-01-16 08:38:32","2025-01-16 08:41:07","Southport Ave & Waveland Ave",13235,"Southport Ave & Roscoe St",13071,41.948226,-87.664071,41.943739,-87.664020,member,2,Thursday,January,8
0B8DD16A9B77A1C7,electric_bike,"2025-01-02 16:09:07","2025-01-02 16:10:56","Halsted St & 21st St",13162,"Halsted St & 18th St",13099,41.853780,-87.646603,41.857506,-87.645991,member,1,Thursday,January,16
65DD88D2EA5AA24A,electric_bike,"2025-01-19 01:12:00","2025-01-19 01:15:54","Halsted St & Wrightwood Ave",TA1309000061,"Southport Ave & Wrightwood Ave",TA1307000113,41.929143,-87.649077,41.928773,-87.663913,member,3,Sunday,January,1
EAC4EE361C030130,electric_bike,"2025-01-24 06:43:29","2025-01-24 07:01:39","Stave St & Armitage Ave",13266,"Canal St & Madison St",13341,41.917741,-87.691392,41.882409,-87.639767,member,18,Friday,January,6
46267A54446162B5,electric_bike,"2025-01-06 08:45:25","2025-01-06 08:50:20","Larrabee St & Kingsbury St",TA1306000009,"Ogden Ave & Race Ave",13194,41.897764,-87.642884,41.891795,-87.658751,member,4,Monday,January,8
B5D4F9782121EA51,electric_bike,"2025-01-01 16:56:37","2025-01-01 17:03:27","Albany Ave & Bloomingdale Ave",15655,"Campbell Ave & Fullerton Ave",15648,41.914027,-87.705126,41.924632,-87.689307,member,6,Wednesday,January,16
3C1E48C025E88653,classic_bike,"2024-12-31 23:52:34","2025-01-01 00:23:52","DuSable Lake Shore Dr & Wellington Ave",TA1307000041,"Broadway & Barry Ave",13137,41.936688,-87.636829,41.937582,-87.644098,member,31,Tuesday,December,23
B157E60BBF2BA5F6,electric_bike,"2025-01-04 17:23:30","2025-01-04 17:30:30","Clark St & Drummond Pl",TA1307000142,"Clark St & Newport St",632,41.931248,-87.644336,41.944540,-87.654678,member,7,Saturday,January,17
81AE62C30F86C0D2,classic_bike,"2025-01-24 18:11:31","2025-01-24 18:17:05","Larrabee St & Kingsbury St",TA1306000009,"Ogden Ave & Chicago Ave",TA1305000020,41.897764,-87.642884,41.896362,-87.654061,member,5,Friday,January,18
4978AFB4F96F17A6,classic_bike,"2025-01-01 12:20:23","2025-01-01 12:28:29","Larrabee St & Kingsbury St",TA1306000009,"State St & Pearson St",TA1307000061,41.897764,-87.642884,41.897448,-87.628722,member,8,Wednesday,January,12
1DCC4C0315A3B282,classic_bike,"2025-01-06 13:52:47","2025-01-06 13:54:36","Calumet Ave & 18th St",13102,"Calumet Ave & 18th St",13102,41.857618,-87.619411,41.857618,-87.619411,member,1,Monday,January,13
